Unnamed: 0,orig_id,img_id,is_defect,defect_type,Xie,GPT4,GPT4_basic,CogVLM,LLaVA,gpt4o
0,63567,00617545.png,1,RB,0.8189828,1.0,1.0,1.0,1.0,RB
1,65259,00635967.png,0,NoDefect,0.97395587,1.0,1.0,1.0,0.0,OB
2,258,00002720.png,0,NoDefect,0.00080595043,0.0,0.0,0.0,0.0,NoDefect
3,50605,00497284.png,0,NoDefect,0.13134837,0.0,0.0,1.0,0.0,NoDefect
4,22628,00231002.png,1,RB,0.887294,1.0,1.0,1.0,1.0,RB
5,47672,00468553.png,1,PF,0.6397782,1.0,0.0,1.0,0.0,OB
6,96077,00953221.png,0,NoDefect,0.5476616,1.0,1.0,1.0,0.0,NoDefect
7,23878,00242381.png,0,NoDefect,0.009992359,0.0,0.0,0.0,0.0,NoDefect
8,29623,00292340.png,1,PF,0.75224864,0.0,0.0,1.0,0.0,NoDefect
9,17843,00184032.png,1,OB,0.9688149,0.0,0.0,0.0,0.0,NoDefect
10,55177,00544551.png,0,NoDefect,0.005264771,0.0,0.0,0.0,0.0,OB
11,106043,01051658.png,1,DE,0.02059983,0.0,0.0,0.0,0.0,NoDefect
12,84952,00841517.png,1,PF,0.93938494,0.0,0.0,1.0,0.0,OB
13,31322,00306871.png,1,RO,0.9967514,1.0,1.0,0.0,1.0,RO
14,106725,01057513.png,1,DE,0.95565504,0.0,0.0,0.0,1.0,NoDefect
15,86291,00852617.png,0,NoDefect,0.94860005,0.0,0.0,0.0,0.0,NoDefect
16,92208,00908736.png,0,NoDefect,0.46327272,0.0,0.0,0.0,0.0,NoDefect
17,29046,00287653.png,0,NoDefect,0.000642107,0.0,0.0,1.0,0.0,NoDefect
18,97344,00967874.png,0,NoDefect,3.0860137e-06,0.0,0.0,0.0,1.0,RB
19,53112,00519810.png,0,NoDefect,0.006761468,1.0,0.0,0.0,0.0,DE
20,91243,00902655.png,0,NoDefect,0.047333386,0.0,0.0,1.0,1.0,NoDefect
21,24940,00248494.png,0,NoDefect,0.00058073015,0.0,0.0,0.0,0.0,NoDefect
22,31319,00306868.png,1,RO,0.9850462,1.0,1.0,,1.0,RO
23,31030,00305000.png,1,RB,0.9835216,1.0,1.0,0.0,0.0,"RB, RO"
24,41241,00406657.png,1,PF,0.26710266,0.0,0.0,0.0,1.0,NoDefect
25,102929,01021927.png,1,RO,0.99436957,1.0,1.0,1.0,0.0,"RB, RO"
26,58493,00572939.png,1,OB,0.43356693,0.0,0.0,0.0,1.0,NoDefect
27,73120,00710330.png,0,NoDefect,0.002614271,0.0,0.0,,0.0,NoDefect
28,31893,00311380.png,0,NoDefect,0.5867841,0.0,0.0,0.0,0.0,NoDefect
29,96640,00959013.png,0,NoDefect,0.75959873,0.0,0.0,0.0,1.0,NoDefect
30,34500,00341760.png,1,RO,0.97111154,1.0,1.0,1.0,0.0,RO
31,123973,01233591.png,0,NoDefect,0.06888066,0.0,0.0,0.0,0.0,NoDefect
32,107891,01069656.png,0,NoDefect,0.036386065,0.0,0.0,1.0,0.0,NoDefect
33,105990,01051282.png,1,RO,0.9129003,1.0,1.0,0.0,0.0,NoDefect
34,42107,00414188.png,1,RB,0.9819043,1.0,1.0,1.0,1.0,OB
35,67541,00656179.png,0,NoDefect,0.005607082,0.0,0.0,0.0,0.0,NoDefect
36,123752,01230189.png,0,NoDefect,0.0019815897,0.0,1.0,,0.0,NoDefect
37,111566,01103697.png,0,NoDefect,0.014343177,0.0,0.0,0.0,0.0,NoDefect
38,5295,00055654.png,0,NoDefect,0.32738465,0.0,1.0,0.0,0.0,NoDefect
39,22118,00224834.png,1,RB,0.3521415,1.0,1.0,0.0,1.0,RB
40,96180,00953931.png,1,DE,0.063932024,0.0,0.0,0.0,1.0,NoDefect
41,39792,00392052.png,0,NoDefect,0.0012724972,0.0,0.0,0.0,0.0,NoDefect
42,80636,00795710.png,1,OB,0.955235,1.0,0.0,0.0,0.0,NoDefect
43,116879,01154770.png,0,NoDefect,6.7002253e-07,1.0,1.0,0.0,0.0,NoDefect
44,30431,00299021.png,1,OB,0.962697,0.0,1.0,,0.0,RO
45,93437,00919648.png,1,RO,0.11928003,,1.0,1.0,0.0,NoDefect
46,103198,01024200.png,0,NoDefect,0.0014704941,0.0,0.0,1.0,0.0,RO
47,83050,00822900.png,0,NoDefect,2.1737121e-06,1.0,0.0,0.0,0.0,NoDefect
48,114026,01127769.png,0,NoDefect,0.02017115,1.0,1.0,0.0,1.0,NoDefect
49,102082,01016394.png,0,NoDefect,0.002471694,0.0,0.0,0.0,0.0,NoDefect
50,115869,01143948.png,1,DE,0.03987099,0.0,0.0,0.0,0.0,NoDefect
51,114339,01129787.png,0,NoDefect,0.018577041,1.0,0.0,0.0,1.0,DE
52,41819,00412362.png,0,NoDefect,0.01325812,0.0,0.0,,0.0,NoDefect
53,116757,01153621.png,0,NoDefect,0.0054067993,0.0,0.0,0.0,1.0,NoDefect
54,124392,01238319.png,0,NoDefect,0.0005338361,0.0,0.0,,0.0,NoDefect
55,102561,01019697.png,1,DE,0.7982139,0.0,0.0,1.0,0.0,NoDefect
56,56516,00553974.png,1,PF,0.8730573,0.0,1.0,1.0,0.0,NoDefect
57,119312,01182752.png,1,OB,0.9940169,0.0,0.0,0.0,0.0,NoDefect
58,78194,00763700.png,1,DE,0.009481606,0.0,0.0,0.0,0.0,NoDefect
59,48131,00472380.png,1,RB,0.99955744,0.0,0.0,1.0,1.0,RO
60,22984,00235099.png,1,RB,0.9483692,1.0,0.0,1.0,0.0,RB
61,35225,00347287.png,1,RB,0.99262047,1.0,0.0,0.0,0.0,NoDefect
62,85808,00848872.png,1,PF,0.7197824,0.0,0.0,0.0,0.0,NoDefect
63,6690,00069800.png,1,OB,0.9618566,0.0,0.0,0.0,0.0,NoDefect
64,21803,00222387.png,0,NoDefect,0.009795053,0.0,0.0,0.0,1.0,NoDefect
65,101426,01009692.png,0,NoDefect,0.5967198,1.0,1.0,0.0,1.0,OB
66,36712,00360434.png,0,NoDefect,0.19242236,0.0,0.0,0.0,0.0,NoDefect
67,63493,00617232.png,0,NoDefect,0.010846883,0.0,0.0,0.0,1.0,NoDefect
68,40838,00402904.png,1,OB,0.7333447,0.0,0.0,0.0,1.0,NoDefect
69,103551,01028450.png,1,DE,0.3446678,,1.0,,0.0,NoDefect
70,87146,00860498.png,0,NoDefect,0.00090618484,0.0,0.0,0.0,0.0,NoDefect
71,95065,00938594.png,0,NoDefect,0.0007048411,0.0,0.0,0.0,0.0,NoDefect
72,26314,00260898.png,0,NoDefect,0.0028951918,0.0,1.0,0.0,0.0,NoDefect
73,46423,00457210.png,0,NoDefect,9.1096146e-05,1.0,0.0,1.0,0.0,RB
74,43079,00425339.png,1,PF,0.19587679,0.0,0.0,0.0,0.0,NoDefect
75,48863,00481322.png,0,NoDefect,0.04099944,0.0,0.0,0.0,0.0,NoDefect
76,84286,00836585.png,1,DE,0.7044778,1.0,1.0,1.0,0.0,NoDefect
77,81120,00803164.png,0,NoDefect,0.5102207,0.0,0.0,0.0,0.0,NoDefect
78,96658,00959031.png,0,NoDefect,0.23366739,0.0,1.0,0.0,1.0,NoDefect
79,84322,00836815.png,1,PF,0.7300977,0.0,1.0,0.0,0.0,NoDefect
